ID;CD_CEP;NM_LOGRADOURO;ID_BAIRRO
4679;23580300;RUA LUIS DE OLIVEIRA BULHOES;26443
4680;23580400;RUA BOIUCUCANGA;26443
4681;23580500;RUA ANTONIO PORTUGUAL;26443
4682;23580600;RUA JOSE SCHREITTMILLER;26443
4683;23580700;RUA LUISA MARIA GONZAGA;26443
4684;23580800;RUA VELOSO DA FONSECA;26443
4685;23580900;RUA PEDRO FURTADO;27784
4686;23581000;RUA MARIO SARDELLI;27784
4687;23581100;RUA PEDRO VAZ REGO;26443
4688;23581200;RUA CARLOS BERTANI;27784
4689;23581300;RUA BENTO DA ROCHA;26443
4690;23581400;RUA DR FLORIANO PAULO DE ALMEIDA;26443
4691;23590000;RUA ARTUR SIEVERS;27125
4692;23590100;RUA ANTONIETA DEL PICCHIA;27125
4693;23590200;RUA DOMINGOS MORMANNO;27125
4694;23590300;RUA MARIA DA CONCEICAO FONSECA;27125
4695;23590400;RUA PROF. ULISSES DE MELO;27125
4696;23590500;TRAVESSA MANUEL ANTONIO FERREIRA;27125
4697;23610000;ESTRADA DO ENGORDADOR;28149
